last_updated,percent_change_24h,percent_change_1h,price_usd,24h_volume_usd,percent_change_7d
1518112468,0.2,-0.05,8234.75,9986730000.0,-10.74
1518112769,-0.08,-0.31,8214.92,9934340000.0,-10.95
1518112769,-0.08,-0.31,8214.92,9934340000.0,-10.95
1518112769,-0.08,-0.31,8214.92,9934340000.0,-10.95
1518112769,-0.08,-0.31,8214.92,9934340000.0,-10.95
1518112769,-0.08,-0.31,8214.92,9934340000.0,-10.95
1518113068,-0.29,-0.56,8200.78,9871340000.0,-11.07
1518113068,-0.29,-0.56,8200.78,9871340000.0,-11.07
1518113068,-0.29,-0.56,8200.78,9871340000.0,-11.07
1518113068,-0.29,-0.56,8200.78,9871340000.0,-11.07
1518113068,-0.29,-0.56,8200.78,9871340000.0,-11.07
1518113369,-0.68,-0.93,8172.97,9861960000.0,-11.31
1518113369,-0.68,-0.93,8172.97,9861960000.0,-11.31
1518113369,-0.68,-0.93,8172.97,9861960000.0,-11.31
1518113369,-0.68,-0.93,8172.97,9861960000.0,-11.31
1518114569,-1.29,-0.96,8134.89,9818650000.0,-11.57
1518114867,-1.19,-0.84,8145.3,9818130000.0,-11.46
1518115170,-1.13,-0.64,8151.39,9827310000.0,-11.33
1518115470,-0.98,-0.48,8163.44,9862040000.0,-11.16
1518115764,-0.93,-0.47,8164.02,9801380000.0,-11.16
1518116069,-0.56,-0.13,8193.55,9812560000.0,-10.76
1518116368,-0.26,0.23,8214.19,9680750000.0,-10.51
1518116669,-0.36,0.27,8202.47,9704760000.0,-10.58
1518116969,-0.19,0.61,8212.47,9666820000.0,-10.44
1518117268,0.01,0.76,8224.7,9681710000.0,-10.25
1518117570,0.31,1.3,8245.54,9725080000.0,-9.98
1518117867,0.87,1.82,8288.27,9790430000.0,-9.51
1518118169,1.05,2.01,8299.67,9778530000.0,-9.31
1518118468,1.34,2.15,8318.98,9745900000.0,-9.08
1518118769,1.19,1.82,8303.24,9778870000.0,-9.19
1518119069,1.71,2.14,8341.34,9862650000.0,-8.73
1518119670,2.63,2.72,8408.35,9884960000.0,-7.92
1518119670,2.63,2.72,8408.35,9884960000.0,-7.92
1518119969,2.85,2.77,8423.07,9905240000.0,-7.72
1518120268,2.49,2.18,8388.53,9878590000.0,-8.08
1518120569,2.17,1.61,8358.15,9817670000.0,-8.34
1518120870,2.14,1.27,8350.55,9838280000.0,-8.39
1518121168,2.45,1.39,8370.77,9873410000.0,-8.12
1518121469,2.48,1.19,8368.5,9871350000.0,-8.11
1518121769,2.46,0.76,8362.17,9822560000.0,-8.13
1518122069,2.56,0.67,8366.59,9798610000.0,-8.03
1518122367,2.72,0.66,8376.21,9799950000.0,-7.92
1518122663,2.65,0.34,8370.0,9778560000.0,-7.91
1518122970,2.33,-0.46,8334.97,9738640000.0,-8.22
1518123269,2.14,-0.68,8314.42,9682240000.0,-8.4
